00014E71,"麥克邁納斯: 成功了！碉堡淨空！"
01A8AFDF,"König Wilhelm"
01A8AFE0,"梅菲斯特"
01A8AFE1,"腓特烈大帝"
01A8AFE2,"齊格飛"
01A8AFE3,"浮士德"
01A8AFE4,"獨眼龍"
01A8B37A,"縮放視野以更輕鬆的從遠距索敵並消滅目標。"
01AB98A0,"戰鬥包1狗牌"
01AD87DD," SENIOR NETWORK ENGINEER"
01B8DEB4,"用 Kolibri 手槍進行 10 次擊殺"
01BC400F,"內部渲染解析度，100% = 透過超級取樣來取得更佳的品質。"
01C2C755,"死亡喪鐘"
01CA38BF,"上將 V"
01CE3FC8,"EADP SYSTEMS TEST"
01D3492E,"按鍵 22"
01D3492F,"按鍵 23"
01D34930,"按鍵 24"
01D34931,"按鍵 25"
01D34932,"按鍵 26"
01D34933,"按鍵 27"
01D34934,"按鍵 28"
01D34935,"按鍵 29"
01D34936,"按鍵 30"
01D8AB73,"利用瞄準控制來使用瞄具瞄準。這永遠是最準確的射擊方式。"
01DA6C31,"唐森: 領路吧愛德華。這霧濃得跟鬼一樣。"
01DC4EF7,"空中砲艇已部署"
01DE3EFF,"戰爭最初幾個月令人難以置信和始料未及的傷亡人數清晰地表明，在開闊場地調集大量步兵的時代毫無疑問已經結束。應建立和教導新的戰壕戰戰術來抵抗強大的德國進攻。儘管作戰組織繼續被細分為營，但由約 20 人組成的以尉官帶領戰鬥的較小戰鬥隊伍，目前在前線戰鬥中最具效率。法國部隊組織了那場戰爭中最強大的砲兵進行野戰，憑藉發明的「徐進彈幕射擊」，特別突擊兵小隊得以在彈幕掩護下挺進，並突破德國駐地。同時還引入了一種新的縱隊戰術形式，實現了更集中的攻擊。奪取的駐地被立刻修建成堡壘以防潛在的反攻，裝備充足手榴彈的「肅清戰壕殘敵」小組會被派出處理負隅頑抗的敵人。還引入了「步行火力」的理念，每個小隊均配備至少一挺紹沙（Chauchat）輕機槍，以提供壓制火力。"
01E05E8B,"前線模式"
01E07293,"提示"
01E41D01,"布爾什維克政權所遭遇過的最強軍事反抗，是由前俄羅斯帝國將領安東·鄧尼金以及彼得·克拉斯諾夫在頓巴斯地區所組成。訓練精良並在克拉斯諾夫手下為俄國白軍作戰的頓河軍，約有著 45,000 人的兵力，並且裝備了600 挺的機槍與 150 門火砲，他們將目標放在察里津市區這個重要的策略資產上。察里津不只有著巨大的鐵路樞紐、公路連結以及通訊網路，還有著廣闊的工業化能力，基本上控制著整個北高加索地區。1918 年秋季，俄國白軍從南部進攻，而頓河軍的哥薩克騎兵則到北方去切斷察里津與莫斯科的聯繫。布爾什維克，也就是俄國紅軍，被逼退到伏爾加河西岸，但仍不願意放棄整座城市。在喬瑟夫·史達林和克利緬特·伏羅希洛夫所帶領的軍事委員會鼓吹下，集結起了市區當中的工人，在市區內利用多層壕溝防線與帶刺鐵絲網建立出了外圍防線。俄國白軍一次又一次的猛攻，但都無功而返。這場戰役持續到了 1919 年，雙方各有增援。紅軍的「鋼鐵師」從北方突破，而白軍獲得了裝甲列車「俄羅斯統一」號以及一支英國坦克志願軍的助拳。這支坦克軍團差點佔領了整座城市，其中一台坦克還突破到市中心，但在缺乏補給，特別是汽油的情況下，進攻不得不中止。到了 1920 年，來自莫斯科的援軍終於來到，不但讓原本的紅軍守軍大大鬆了口氣，這支援軍也成功一舉將白軍趕出察里津。為了紀念史達林守護共產主義體制的決心，察里津隨後便改名為史達林格勒。"
01E4C455," SENIOR DIRECTOR OF COMMUNITY ENGAGEMENT"
01E63C8D,"赤潮行動"
01EB427E,"麥克邁納斯: 好耶！這就對了！"
01EF36AB,"有更新可供下載，必須安裝本項更新才能使用本遊戲的線上功能。"
01F5FEB0,"少校III"
01F924A6,"比查特: 這下讓他們記住了吧！"
01F92A01,"威爾森: 他要墜落了！幹得好啊！"
01FA2727,"晉級"
02057608,""
02057609,""
0205760A,""
0205760B,""
02060269,""
0206026A,""
020D249D,"威爾森: 快加速！咬住他的後方！"
020F30D5,"布萊克本: 好呀！"
020F5B20,"唐森: 我們成了甕中之鱉了！"
020FB3A5,"他們來了！"
0216965B,"畢夏: 命令指示以砲火掩護並撤退至海灘，同時砲擊村莊與外圍堡壘。媽的，佛斯特！"
0217DD48,"按鍵"
0218006C,"REC"
021AB250,"里茲堡壘"
021B6F06,"各隊爭奪一枚炸彈"
02235ECE,"選擇全螢幕時所要使用的顯示器，按「套用影像設定」按鍵啟用。"
022488EA,"不惜一切代價 堅守陣線"
022731A2,"提高視角移動速度"
0231A04B,"EA CERT"
0236C478,"愛德華: 省點力氣吧，長官。我會帶大家到集結點的。"
02376422,"以偵察兵身分，造成 4000 點士兵傷害"
023A1FD5,"使用CS-LR4擊殺500人"
023AF0C1,"EA TECH"
023F89D7,"CS-LR4大師狗牌"
02476335,"棕鐵"
024E4935,"麥克邁納斯: 裡面失火了！"
02521878,"用 Selbstlader M1916（瞄準鏡）進行 30 次擊殺"
0254981D,"小隊死鬥"
02554506,"勤務小任務未解鎖。完成「坦克救急（基本）」以開始該小任務。"
02672878,"進階"
0267F6F5,"威靈頓大廈"
026B98CD,"戰壕潛望鏡"
026D10FF,"沒有什麼比躺在無人區中慢慢失血、呼吸困難的感覺更加嚇人了。你的同僚會很快地拿出存放在每個士兵制服夾克中的小型防水密封急救包，急救包裡面通常裝有兩個用來止血的紗布敷料，一個用於子彈進入的傷口，而另一個用於子彈穿出的傷口。如果被急救的士兵夠幸運，這樣的處置便能讓他活到擔架兵來救援。  擔架兵手上會有更大的急救包，裡面有能治療破片傷口的大型敷料。回到戰壕後，士兵會接受破傷風與其他抗感染藥物的注射，還會接受避免休克與進一步失血的治療。"
026F308B,"大戰中的急救措施"
026F3D67,"連線"
0270BB11,"芬奇: 你還好嗎，愛德華？"
0271C021,"取得 LeFever 突擊兵勳章時的獎勵。"
0272EF01,"武裝附邊車通常用來支援騎乘摩托車單位。然而，在實戰中這些附邊車很少在行駛間射擊。從定點進行射擊才是最為有效的射擊方式。"
02750E8D,"MC 18J 附邊車摩托車"
02772A23,"LeFever 突擊兵勳章正面"
0277CA71,"按住即可進入載具"
02782408,"ASSISTANT PRODUCERS"
027AAA1A,"布萊克本: 機上可是裝有不少彈藥、醫療補給與強大的火力……"
027B46EF,"布萊克本: 把頭壓低！"
027F3EC5,"CINEMATICS ANIMATORS"
028D2D01,"愛德華: 小心德軍！"
029B24DD,"在任務中與好友競爭。選擇一項任務並最多邀請四名好友互相競爭。  所有嘗試次數用完後或者是時間結束時分數最高的玩家就是勝利者。"
029B3F66,"維克"
029BB172,"在「海麗絲岬」中呼叫離岸彈幕攻擊"
02AA64B2,"唐森: 目標已消滅！"
02B038CF,"薄弱地防守"
02B1C3AF,"造船廠"
02B5449A,"毒氣攻擊坦克"
02C33979,"布萊克本: 別擔心，我能照顧好自己的！"
02C60EE0,"空降的補給箱，能修復、重新補給與治療附近的士兵與載具"
02C8E8EC,"使用Z-11W武裝直升機擊殺500人"
02CD4CD9,"RUSSIAN 1895"
02CE52EE,"Z-11W武裝直升機大師狗牌"
02D30017,"唐森: 幹得好愛德華，讓我清理這些阻礙。"
02D3050B,"獲勝回合數較多的隊伍即可贏得比賽"
02D3C9A8,"你自訂的地圖循環。"
02D67D80,"防禦倫敦的德軍空襲。"
02D88859,"代表蒙特內哥羅的狗牌"
02DDF25B,"蒙特內哥羅"
02DDF515,"FACILITIES"
02DE8ADB,"5 張資料片"
02DE8ADC,"提前兩週使用權"
02DE8ADD,"獨家個人化功能"
02DE8ADE,"伺服器連線優先權"
02DE8ADF,"每週新內容"
02DE8AE0,"12 套獎勵戰鬥包"
02E086F7,"鄂圖曼釘頭錘"
02E9CDD7,"阿拉伯的勞倫斯的 SMLE"
02F0F40C,"伊塞克希薩立克戰役"
02F0F40D,"費斯蒂貝爾戰役"
02F0F40E,"304 號高地戰役"
02F0F40F,"維萊布勒托納戰役"
02F0F84D,"法曼"
02F0F84E,"蝙蝠"
02F0FC8E,"哈佩"
02F4D25D,"莫辛-納甘 M91（神射手）"
02F4D2AA,"呼叫升降梯"
02F9468A,"力量與忠誠"
02FAA05F,"[personaname]加入了伺服器"
02FABCBD,"ID QA"
02FB480D," VFX SUPERVISOR"
02FF1752,"準確砲擊"
03006624,"槍口制動器，能減少後座力"
0309F5EB,"物資中又少一瓶酒了。"
0311AA81,"唐森: 火砲清除掉了，繼續行動！"
03144867,"公園"
0319C488,"指揮官滿意度"
031F2795,"用馬提尼·亨利步槍進行 10 次擊殺"
0321C6FF,"用輕機槍 08/18 進行 20 次擊殺"
0324882F,"在一回合內取得最高直升機擊殺數"
032537DA,"唐森: 我們的弟兄穩住陣腳了！我們出發吧！"
0329A23F,"WEX"
0329B096,"蹲下（按住）"
032B2E60,"用 MG15 n.A.（輕量化）進行 40 次擊殺"
032B80D0,"LAUNCH READINESS"
03382886,"比查特: 啊！我的耳朵！"
033A147A,"布萊克本: 這招怎麼樣啊，蠢貨？"
0351874F,"威爾森: 那些防空裝甲車會摧毀我軍轟炸機的！"
035289E3,"完成小任務即可解開此狗牌"
03529C15,"NUM /"
0355B7AE,"布萊克本: 有一兩次慘烈到必須要肉搏戰。噁心的細節我就不說了，但當時十分慘烈血腥。"
03564232,"開啟友軍砲火代表你能傷害或殺害你的隊員。"
0357F3E5,"初級飛機狗牌"
0358F5ED,"突襲"
035AA9F5,"進攻或防守電報站。進攻方必須摧毀電報站來通過敵方領地。防守方必須利用電報呼叫強力砲擊以轟炸發現的敵軍。"
035CEBE9,"中規模戰爭場面。兩個防守基地各一目標，攻守雙方一決勝負。"
035F52FB,"您上一次加乘的剩餘時間將會清空。是否要繼續？"
0361CC3A,"一旦部署倒數歸零你即可進入遊戲。欲部署，請按下："
036665E5,"用 12g 自動霰彈槍擊殺 100 人的獎勵。"
036A2AB4,"仇敵復仇"
036BCFE7,"12g 自動霰彈槍背面"
036C8E28,"代表幾內亞比索的狗牌"
036D9862,"澤布呂赫"
036F40FE,""
0371F82A,"幾內亞比索"
0372A7F6,"GLOBAL IT SENIOR INFRASTRUCTURE ENGINEER CLOUD"
0379E56F,"佔領"
037AD49E,"SENIOR SOFTWARE ENGINEER"
037C45DA,"瞄準時調整配備、手榴彈、互動和可拾取物圖示的透明度。"
037CAE5C,"勞倫斯: 這些指揮官，這些陌生人，身上都有我們需要的東西。就因為如此，他們必須死。"
038041BD,"威爾森: 德軍的戰機好快！"
038155B5,"代表敘利亞的狗牌"
03823CDA,"醫護兵限制"
03841235,"Straight Flush placeholder description text.VVVVV"
0386BFB7,"敘利亞"
038DFBE0,"愛德華: 是啊，在德軍啟動那些 Mark V 以前我們先幹掉他們吧。"
038FF724,"尚未有其他好友玩《戰地風雲4》"
0397C860,"您必須設定至少三個字元。"
03A35819,"總行動時間"
03AD0AF3,"我們跟其他坦克一起行動！"
03B0E1C4,"前座砲手位置"
03B0E1D0,"後座砲手位置"
03B1618C,"EA 帳號"
03B40C95,"DICE"
03B590FA,"GAME"
03B7C941,"已檢舉圖章"
03BB766B,"未分類"
03BD05C2,"伺服器正在維修中。"
03C0E0C2,"小隊最後一人"
03C2291C,"威爾森: 哇！"
03D12EE2,"密碼"
03D54EA5,"普通"
03D5A5D0," DIRECTOR GLOBAL CONTENT STRATEGY"
03D7920D,"你必須是步行狀態才能下此指令。"
03D7B341,"DICE LINE MANAGERS"
03EB04E8,"愛德華: 我們的履帶掉了！"
03EB0613,"Q"
03ED1EAC,"到期日"
03EDE786,"偵察兵限制"
03EED999,"RSC 1917（瞄準鏡）"
03EF2AC7,"支援裝備"
03F5EE18,"衝鋒（按住）"
03F97900,"你隊伍控制的目標"
03F97901,"中立目標"
03F97902,"敵方控制的目標"
03F97903,"隊伍"
03F97904,"佔領目標"
03F97905,"敵人"
03F97906,"佔領敵方目標"
03F9F2BD,"威爾森: 那架戰鬥機完蛋了！"
03FB0B46,"DIGITAL IMAGING LEAD"
03FB573F,"透過戰鬥包取得"
03FFFEDD,"防守各個目標"
0400C084,"防守指揮官的前哨站"
0400C141,"戰鬥包4狗牌"
04069E03,"防守"
040BA6DC,"DESIGNERS"
040D0CE0,"掃描步兵"
040D4C97,"調整受到傷害面板的透明度。"
04111F10,""
0412ADCF,"一次大戰中法軍所推出的第二款坦克是一款有著多個機槍座的移動式砲塔。後期的版本還納入了傾斜式的頂部裝甲，和改良過的 75mm 火砲。"
0416B769,"顯示或隱藏遊戲模式資訊物件。"
0417D315,"背景可見度"
0419F920,"麥克邁納斯: 注意視線範圍！"
041B83D0,"M97 戰壕槍（Back-Bored）"
041C640F,"2D ART DIRECTOR"
041F6160,"上將 VI"
0428CC53,"夥同你的隊友一同攻擊或防守成雙 M-COM 目標。各種裝備、配備、載具供你使用。"
042A970C,"威爾森: 擊落那些飛艇，為我們的轟炸機開路！"
042EAADB,"使用MX4擊殺500人"
042F30DD,"Gewehr 98（神射手）"
04325226,"用防空火箭砲進行 10 次擊殺"
043414DD,"MX4大師狗牌"
04394A49,"威爾森: 我們中彈了！發生什麼事？！"
043A8654,"征服地獄"
043D5C16,"在飛機內減少一半被索敵的時間"
043DDA6B,"左 SHIFT"
04454AFE,"LEAD ONLINE ENGINEER                                                                                 "
04494FB1,"接受急救"
044A34EC,"勞倫斯: 要讓列車待命，必須寄送三份命令。"
044B2751,"少校IV"
044FECB7,"唐森: 快成功了，向那座火砲前進！"
04511CA8,"看看誰才是《戰地風雲4》的頂尖好手。 任務可設定為單回合內最高擊殺數或奪取狗牌數等獲勝條件，並且最多能邀請四名好友一同比賽。 時間結束或者是次數完畢後分數最高的玩家就是贏家。"
04517CC0,"戰鬥機"
045D8F87,"布萊克本: 好了，我來搞定！"
045FE93D,"俄羅斯哥薩克匕首"
0466111C,"小隊上一名玩家"
046745F3,"芬奇: 把他們都解決掉！"
046992A4,"索姆河"
046B80BA,"麥德森（Madsen）是最早面世的其中一款輕機槍，於 1899 年在丹麥設計。這款彈匣給彈的氣冷式武器裝有複雜且罕見的後座作用機制，讓其當時的生產成本變得十分高昂，但其生產品質優秀，在戰場上的表現也很出色。  麥德森首次服役是在 1904 到 1905 間的日俄戰爭中，而且在一次大戰前後大量生產並銷售至超過 34 個國家。麥德森機槍於 1950 年代停止生產，但這款武器仍持續在全球發光發熱，甚至到了 21 世紀仍被巴西軍警所使用。"
046C593C," LEAD GAMEMODE DESIGNER"
046DA046,"麥德森輕機槍"
04706A7A,"以突擊兵身分，進行 25 次多重擊殺"
