00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
0357F3E5,"初級飛機狗牌"
0358F5ED,"突襲"
035CEBE9,"[BF1]中規模戰爭場面。兩個防守基地各一目標，攻守雙方一決勝負。 | [BF4]中規模戰爭場面。防守基地各有兩項目標，攻守雙方一決勝負。"
035F52FB,"[BF1]您上一次加乘的剩餘時間將會清空。是否要繼續？ | [BF4]你上一次加乘的剩餘時間將會遭到刪除。是否要繼續？"
0361CC3A,"一旦部署倒數歸零你即可進入遊戲。欲部署，請按下："
036A2AB4,"仇敵復仇"
036C8E28,"代表幾內亞比索的狗牌"
036F40FE,"[BF1] | [BF4]快速反應蹲下"
0371F82A,"幾內亞比索"
0372A7F6,"GLOBAL IT SENIOR INFRASTRUCTURE ENGINEER CLOUD"
0379E56F,"佔領"
037AD49E,"SENIOR SOFTWARE ENGINEER"
038155B5,"代表敘利亞的狗牌"
0386BFB7,"敘利亞"
038FF724,"尚未有其他好友玩《戰地風雲4》"
0397C860,"[BF1]您必須設定至少三個字元。 | [BF4]你必須設定至少三個字元。"
03B1618C,"[BF1]EA 帳號 | [BF4]Origin帳號（EA）"
03B40C95,"DICE"
03B590FA,"GAME"
03BD05C2,"伺服器正在維修中。"
03C0E0C2,"小隊最後一人"
03D12EE2,"密碼"
03D54EA5,"普通"
03D7920D,"你必須是步行狀態才能下此指令。"
03D7B341,"DICE LINE MANAGERS"
03ED1EAC,"到期日"
03EF2AC7,"支援裝備"
03F97900,"你隊伍控制的目標"
03F97901,"中立目標"
03F97902,"敵方控制的目標"
03F97903,"隊伍"
03F97904,"佔領目標"
03F97905,"敵人"
03F97906,"佔領敵方目標"
03FB0B46,"DIGITAL IMAGING LEAD"
03FB573F,"透過戰鬥包取得"
0400C141,"戰鬥包4狗牌"
04069E03,"[BF1]防守 | [BF4]防禦"
040BA6DC,"DESIGNERS"
040D0CE0,"掃描步兵"
041F6160,"[BF1]上將 VI | [BF4]上將VI"
0428CC53,"[BF1]夥同你的隊友一同攻擊或防守成雙 M-COM 目標。各種裝備、配備、載具供你使用。 | [BF4]夥同你的隊友一同攻擊或保衛成雙M-COM目標。有各種裝備、配備、載具供你使用。"
042EAADB,"使用MX4擊殺500人"
043414DD,"MX4大師狗牌"
043DDA6B,"[BF1]左 SHIFT | [BF4]左SHIFT"
04494FB1,"[BF1]接受急救 | [BF4]接受救助"
044B2751,"[BF1]少校IV | [BF4]中尉III"
04511CA8,"看看誰才是《戰地風雲4》的頂尖好手。 任務可設定為單回合內最高擊殺數或奪取狗牌數等獲勝條件，並且最多能邀請四名好友一同比賽。 時間結束或者是次數完畢後分數最高的玩家就是贏家。"
0466111C,"小隊上一名玩家"
047849CB,"BF4電擊器擊殺"
048F4876,"使用M40A5擊殺500人"
0494B278,"M40A5大師狗牌"
0499A19D,"開門"
049B1ED6,"ADDITIONAL DATA ENGINEER"
04B02120,"[BF1]索敵/快速訊息 | [BF4]索敵/通訊"
04B02121,"[BF1]COMM選單 2 | [BF4]COMM選單2"
04B29CB2,"蹲下（切換）"
04B67819,"退出並回到WINDOWS"
04BC80B7,"ANIMATION & CINEMATICS"
04CD4F1C,"[BF1]讓 3 個小隊隊員重生 | [BF4]讓3個小隊隊員重生"
04D2B91E,"無線電信標重生勳帶"
04E2FD83,"無法禁止該玩家。"
04ECAF70,"ONLINE SERVICE OPERATIONS"
04F267A4,"LIGHTING ARTIST"
04F46226,"小隊修復中"
04F51A5B,"每個循環地圖的遊戲回合數。"
050E5E01,"專與粉絲歡慶同樂的狗牌！"
0513C803,"玩家謝禮狗牌"
051E118D,"使用UH-1Y毒液擊殺500人"
05237B8F,"UH-1Y毒液大師狗牌"
052C23AE,"COMMANDER"
052DB0FA,"代表蒙塞拉特島的狗牌"
0530D351,"篩選條件"
0532C322,"[BF1]資料讀取中，請稍候… | [BF4]資料讀取中，請稍候..."
05331AFC,"蒙塞拉特島"
05367978,"就緒"
053CB01E,"開啟/關閉動態模糊。設定「開啟」後可能會降低效能。"
053F5C70,"TIBURON ANIMATION SOFTWARE ENGINEER"
053FCB23,"單人模式專屬狗牌"
05412CA9,"["
05429211,"找出監獄下層"
05442DF7,"目前地圖"
05453525,"一去不復返狗牌"
0548F89B,"[BF1]使用全像瞄準器以獲得 2X 的放大效果。 | [BF4]使用全像瞄準器以獲得2X的放大效果。"
05513DCE,"[BF1]配備一 | [BF4]配備1"
05625191,"[BF1]查看排行榜 | [BF4]看排行榜"
05655F9A,"[BF1]載具碾殺 | [BF4]撞死擊殺數"
0577200F,"GLOBAL IT SENIOR DIRECTOR"
05795FA3,"[BF1]啟用或停用再生生命值，使得醫療包成為重獲生命的唯一途徑。 | [BF4]啟用或停用再生生命，使得醫療包成為重獲生命的唯一途徑。"
0592DD88,"持續蹲下"
0597C828,"透過遊戲選單追蹤你目前的分數。每次擊殺都可獲得分數，你可從特殊動作獲得額外加分，例如爆頭擊殺。"
05A1A6C3,"黃金戰鬥包"
05A5FD0C,"征服與突擊混搭的《重返卡肯》地圖。"
05A7B284,"[BF1]完成小任務即可解開此狗牌 | [BF4]完成小任務即可解開這種狗牌"
05AA1F5D,"下 反制裝置"
05ABC724,"滅火器"
05AD1C86,"初級船隻狗牌"
05C1B6C9,"代表蓋亞納的狗牌"
05C6548B,"檢視追蹤所有勳帶、勳章、小任務等獎勵。"
05C720CB,"蓋亞納"
05D218AE,"$XXX,XXX.XX"
05D4A837,"擊殺"
05D67E56,"代表臺灣的狗牌"
05DBE858,"臺灣"
05E49415,"<空白>"
05F929D0,"[BF1]按住可臥倒 | [BF4]臥倒（按住）"
05FA671A,"載具部署"
0624A666,"摧毀目標數："
062B0919,"是"
062BD83D,"[BF1]你贏了一場任務 | [BF4]你的任務成功了"
063A9689,"撿起武器"
063F3683,"武器配件"
06483C4A,"啟動"
06507FE0,"透過戰鬥包取得"
06552B2D,"戰術燈"
0655E9E2,"戰鬥包5狗牌"
0660EC5F,"勳帶"
06645670,"伺服器描述含有不雅文字。"
06748A01,"[BF1]上將 VII | [BF4]上將VII"
067BD752,"方向鍵上"
067D1286,"隊友已設置炸彈！"
067DA82F,"狗牌救星"
0682CBF1,"選擇難度"
0683D37C,"使用PP-2000擊殺500人"
06893D7E,"PP-2000大師狗牌"
0690D1CB,"[BF1]加入我的最愛 | [BF4]加入最愛"
06A04FF2,"[BF1]少校V | [BF4]中尉IV"
06AF9351,"已啟用頭部追蹤"
06C5AD28,"自由觀看向右"
06CB53DE,"啟用傾身指示，讓你可以在掩蔽物後面窺視。"
06D11015,"DICE FROSTBITE2 TECHNICAL DIRECTOR"
06D28554,"[BF1]載具座位 1 | [BF4]載具座位1"
06D28555,"[BF1]載具座位 2 | [BF4]載具座位2"
06D28556,"[BF1]載具座位 3 | [BF4]載具座位3"
06D28557,"[BF1]載具座位 4 | [BF4]載具座位4"
06D28558,"[BF1]載具座位 5 | [BF4]載具座位5"
06D28559,"[BF1]載具座位 6 | [BF4]載具座位6"
06D2855A,"[BF1]載具座位 7 | [BF4]載具座位7"
06D2855B,"[BF1]載具座位 8 | [BF4]載具座位8"
06DDC1DE,"已發現新炸彈"
06E47117,"使用斥候精英擊殺500人"
06E93BF7,"查看遊戲製作群"
06E9DB19,"斥候精英大師狗牌"
06ED7FAE,"EA CERTIFICATION TECHNICAL OPERATIONS"
06F7C1F9,"無法建立任務"
071D8771,"火箭彈"
072277BD,"[BF1]進行 8 次重新補給 | [BF4]執行8次補給"
0725ADFA,"這套高級戰鬥包內含全新高級版專屬軍刀！"
0727E1BF,"彈藥勳帶"
073567AC,"VOICE OVER DESIGNERS"
073FC104,"部署；重生"
076C4323,"最佳突擊兵"
0774E052,"戰鬥包"
0790A785,"遊戲模式訊息"
0794F3C4,"單人模式專屬狗牌"
079A5DC6,"一人暴動狗牌"
079AFB64,"進入"
079BD1B2,"[BF1]迫擊砲 | [BF4]M224迫擊砲"
07F16B89,"EMP無人機"
07FCDB25,"[BF1]完成小任務即可解開此狗牌 | [BF4]完成小任務即可解開這種狗牌"
08024527,"初級卡賓步槍狗牌"
080A705A,"[BF1]糖水 | [BF4]Sweetwater"
080BFA73,"DICE UI ARTISTS"
080C176D,"即時小隊長視角"
0816DF6A,"代表海地的狗牌"
081C496C,"海地"
082BA6F7,"代表塔吉克的狗牌"
083110F9,"塔吉克"
08367CE6,"擊殺{0:d}人"
083775D4,"儲存裝置在使用過程中被移除，刪除失敗。"
083A5DA8,"裝備"
083EE63A,"PUBLIC RELATIONS VICE PRESIDENT"
084C2536,"ADDITIONAL TECHNICAL DIRECTOR"
087AEAC4,"[BF1]小隊火力壓制助攻 | [BF4]小隊協助壓制"
088AE8E4,"PFC INGHAM"
088F7CAA,"[BF1]伺服器正在進行 E-Sport 比賽，您未預定參加。 | [BF4]伺服器正在進行E-Sport比賽，你未預定參加。"
088FE0CF,"繼續"
08A412BD,"否定"
08A5A881,"透過戰鬥包取得"
08A78A7C,"DICE FROSTBITE2 SENIOR DEVELOPMENT DIRECTOR"
08AB1283,"戰鬥包6狗牌"
08C9B2A2,"[BF1]上將 VIII | [BF4]上將VIII"
08CC597C,"追蹤："
08D04CE3,"RED PIPE CUTSCENE AUDIO DESIGN"
08D59059,"炸彈在你手上！"
08D6D853,"[BF1]Dragon's Teeth | [BF4]龍之獠牙"
08D7C0E7,"SOFTWARE ENGINEERING MANAGER"
08D8D1F4,"DICE PERSISTENCE DESIGNERS"
08D8FC1D,"使用UMP-45擊殺500人"
08DB60ED,"碉堡"
08DB60EE,"宿舍"
08DB60EF,"生產線"
08DB60F0,"工廠"
08DB60F1,"鐵軌"
08DB60F2,"雷達塔台"
08DB7EB4,"宿舍"
08DB7EB5,"生產線"
08DB7EB6,"工廠"
08DB7EB7,"鐵軌"
08DE661F,"UMP-45大師狗牌"
08EC64ED,"A"
08EC64EE,"B"
08EC64EF,"C"
08F57893,"[BF1]少校VI | [BF4]中尉V"
08FC843C,"[BF1]自由視角向左/地圖視角向左 | [BF4]自由視角向左"
09075195,"讓玩家禁玩伺服器"
090FD5CC,"[BF1]紐約客 | [BF4]Yankee"
092CF59B,"屋頂"
0931E61B,"本黃金戰鬥包已透過在Origin預購《戰地風雲4》數位豪華版解鎖成功！"
093999B8,"使用SV-98擊殺500人"
093F03BA,"SV-98大師狗牌"
09408D0E,"代表牙買加的狗牌"
0945F710,"牙買加"
0975F858,"命中比率"
0977A05E,"[BF1]以指揮官取得掃描獎勵 10 次 | [BF4]以指揮官取得掃描獎勵10次"
09781D04,"伺服器租期已過！"
097AACD2,"DICE BATTLELOG SPECIAL THANKS"
097D0A60,"指揮官監控勳帶"
0985E07D,"玩家設定檔已損壞，無法載入，是否要重試？"
09860278,"在一回合內取得最高噴射機擊殺數"
098E2213,"快速部署"
09A5399B,"是否開始新戰役？"
09ABA614,"[BF1]支援兵 | [BF4]支援"
09D5537D,"工地"
09EA1C65,"單人模式專屬狗牌"
09EC527A,"屋頂"
09EF8667,"便裝狗牌"
0A0DAAB5,"選擇裝備"
0A2D2DE4,"關卡小任務"
0A3052E7,"退出指揮官位置也會讓你和伺服器的連線中斷。"
0A36C5F1,"MILITARY EQUIPMENT ADVISOR"
0A4D65C0,"戰地風雲4"
0A500430,"RED PIPE PROJECT MANAGER"
0A509805,"[BF1]配備一 | [BF4]切換配備1"
0A509806,"[BF1]配備二 | [BF4]切換配備2"
0A5203C6,"[BF1]完成小任務即可解開此狗牌 | [BF4]完成小任務即可解開這種狗牌"
0A576DC8,"初級PDW防衛槍狗牌"
0A5F51A0,"載具"
0A629A08,"獲勝回合數："
0A6C080B,"代表赫德島及麥唐納群島的狗牌"
0A71720D,"赫德島及麥唐納群島"
0A80CF98,"代表坦尚尼亞的狗牌"
0A86399A,"坦尚尼亞"
0A99C7D1,"搶攻"
0AA9AB11,"[BF1]煞車 | [BF4]相對向後瞄準"
0AB3C9FB,"ARCHITECTURE"
0AB88341,"中場分數"
0ADF4C16,"你可以從環境找出武器或透過完成小任務來解鎖更多武器。  武器一旦取得後，隨時可從任何武器箱拿出來。  站在武器箱旁邊將為你補充彈藥。"
0AE0D8BA,"火箭彈"
0AE4B618,"蒐集到武器"
0AED3F02,"祖尼"
0AFAD122,"透過戰鬥包取得"
0AFE0FE4,"大兵，看看你自己是什麼階級！你必須是小隊長才能下此指令。"
0B003B24,"戰鬥包7狗牌"
0B013EE4,"小隊防衛指令獎勵"
0B1A4244,"已啟動伺服器"
0B1EDB43,"[BF1]上將 IX | [BF4]上將IX"
0B219A55,"[BF1]欲上傳自訂的伺服器標誌，請至 battlelog.battlefield.com。 | [BF4]欲上傳自訂的伺服器標誌，請至battlelog.battlefield.com。"
0B291559,"EA LOCALIZATIONS"
0B2E24BE,"使用CBJ-MS擊殺500人"
0B338EC0,"CBJ-MS大師狗牌"
0B494BCE,"[BF1]從現在起將安裝磁碟 2 的所有內容到您的儲存裝置。需要{0:s}GB。有{1:s}GB可用。此步驟可能需要一點時間。 | [BF4]從現在起將安裝磁碟2的所有內容到你的儲存裝置。需要{0:s}GB。有{1:s}GB可用。此步驟可能需要一點時間。"
0B4AA134,"[BF1]少校VII | [BF4]上尉"
0B4F30A2,"[BF1]快速配對 | [BF4]快速遊戲"
0B5331CA,"炸彈在你的隊伍手上！"
0B5732E7,"下管式配件"
0B593B8E,"GLOBAL IT SOFTWARE ENGINEERS"
0B59D139,"[BF1]您已將伺服器類型設定為私人。私人伺服器受密碼保護，請輸入伺服器密碼。 | [BF4]你已將伺服器類型設定為私人。私人伺服器受密碼保護，請輸入伺服器密碼。"
0B6B08B8,"小隊擊殺"
0B708025,"無法加入遊戲。請檢查網路連線後再試一次。"
0B8EC259,"使用JNG-90擊殺500人"
0B942C5B,"JNG-90大師狗牌"
0B95B5AF,"代表日本的狗牌"
0B9B1FB1,"日本"
0B9CD86A,"擊殺"
0BA1A873,"隊伍目標"
0BB928CC,"公路霸主"
0BC5C7B1,"快速訊息"
0BCCC8FF,"[BF1]以指揮官身分使用 10 次補給箱 | [BF4]以指揮官身分使用10次補給箱"
0BCF598A,"[BF1]抬頭顯示大小 | [BF4]高解析度下的抬頭顯示大小"
0BD23301,"指揮官重新補給勳帶"
0BD77933,"配備一"
0BD77934,"配備二"
0BF69B60,"管理員玩家失敗"
0C019CF2,"{0:~},{1:~}"
0C0882FE,"設定伺服器"
0C08C926,"[BF1]設定玩家的垂直視野角度。僅會影響多人模式。 | [BF4]設定玩家的垂直視野角度。僅會影響多人遊戲。"
0C104339,"載具裝備"
0C240737,"反轉Y軸。"
0C25B9D4,"隊伍"
0C25B9D5,"奪取飛彈陣地即可發射飛彈"
0C25B9D6,"飛彈自動發射並破壞對手航母"
0C25B9D7,"敵人"
0C25B9D8,"飛彈陣地可由兩隊同時奪取"
0C25B9D9,"航母破壞程度達50%時即算攻破並將出現新目標"
0C25B9DA,"啟動並防衛目標即可在航母中推進"
0C25B9DB,"目標可被敵人拆解"
0C25B9DC,"[BF1]您的隊伍獲勝 | [BF4]你的隊伍獲勝"
0C2EF6B7,"選擇在遊戲內顯示依遊戲模式而異的訊息。"
0C3F4506,"單人模式專屬狗牌"
0C44AF08,"巨齒鯊狗牌"
0C625AF5,"設定裝飾品質。提高設定值可能會降低效能。"
0C6B069E,"[BF1]更改抬頭顯示中如迷你地圖和戰士狀態等內容的可見度。 | [BF4]更改各種抬頭顯示遊戲元素的顯示度。"
0C6EA013,"英文 - 澳洲"
0C6EA0C6,"英文 - 英國"
0C6EA2A5,"英文 - 美國"
0C715E7A,"西班牙文 - 西班牙"
0C715F87,"西班牙文 - 墨西哥"
0C77409E,"向右瞄準"
0C82EA46,"法文 - 加拿大"
0C82EABA,"法文 - 法國"
0C86024B,"取得指揮權"
0C881838,"前視紅外線偵察器"
0C89D78A,"紅外線夜視鏡"
0C8CFE9A,"多人模式解鎖"
0C931D50,"60Hz"
0CA8D344,"在一回合內取得最高載具摧毀數"
0CAC3271,"颶風攔截"
0CB143B4,"戰隊"
0CB634E9,"修復中"
0CB9A2D7,"[BF1]急救 | [BF4]救助"
0CC130AC,"代表教廷（梵蒂岡城國）的狗牌"
0CC558ED,"[BF1]《戰地風雲4》是我們十多年來積極堅持為粉絲帶來最深入最動態的線上多人遊戲的心血結晶。我們充份享受了這遊戲的創作過程，希望您也玩得一樣開心。  我們照例會長期支援我們旗下遊戲，也十分希望您能提供意見。有空請上Battlelog討論區讓我們知道您的想法。我們隨時候教。  感謝您來玩遊戲！ /DICE團隊 | [BF4]《戰地風雲4》是我們十多年來積極堅持為粉絲帶來最深入最動態的線上多人遊戲的心血結晶。我們充份享受了這遊戲的創作過程，希望你也玩得一樣開心。  我們照例會長期支援我們旗下遊戲，也十分希望你能提供意見。有空請上Battlelog討論區讓我們知道你的想法。我們隨時候教。  感謝你來玩遊戲！ /DICE團隊"
0CC69AAE,"教廷（梵蒂岡城國）"
0CD71288,"收到指令"
0CEE8A8A,"獲勝回合"
0CF439B6,"在一回合內取得最高準度"
0CFC2902,"[BF1]設為「是」，您便能自訂遊戲規則，例如「限用刀」。 | [BF4]設為「是」，你便能自訂遊戲規則，例如「限用刀」。"
0CFDCC03,"治療"
0D111A98,"電梯按鈕"
0D3675D5,"擊殺"
0D3E039A,"SYSTEMS ENGINEERING"
0D472EC5,"SENIOR DEVELOPMENT DIRECTOR"
0D4FF9C3,"透過戰鬥包取得"
0D54EAE1,"[BF1]恭喜，您已成功複製狀態資料！ | [BF4]恭喜你已成功移轉統計資料！"
0D5563C5,"戰鬥包8狗牌"
0D5C224B,"EA GLOBAL IT MANAGER MANAGED HOSTING"
0D7403E4,"[BF1]上將 X | [BF4]上將X"
0D796805,"Y軸視點"
0D7D83BD,"嚴重損害"
0D7F03B1,"著火"
0D834D5F,"使用PDW-R防衛槍擊殺500人"
0D878EEE,"未知"
0D883423,"警告"
0D88B761,"PDW-R防衛槍大師狗牌"
0D964A96,"橋樑"
0D9FC9D5,"[BF1]少校VIII | [BF4]上尉II"
0DB9E84C,"時間"
0DBF3EDA,"否"
0DBF3EF7,"確定"
0DC3FD12,"分數"
0DC845D5,"技巧值"
0DDBE1F2,"PLATFORM LEAD"
0DE3EAFA,"使用338-RECON擊殺500人"
0DE954FC,"338-RECON大師狗牌"
0DEADE50,"代表澤西島的狗牌"
0DEB9A5D,"[BF1]哈葛德 | [BF4]Haggard"
0DF04852,"澤西島"
0DF2C02C,"EA LOCALIZATION VOICE ACTORS"
0DF8B12E,"EA GLOBAL MARKETING GROUP VICE PRESIDENT"
0E0D876A,"PROGRAM MANAGER"
0E21F1A0,"以指揮官身分發佈的命令被達成了10次"
0E275BA2,"指揮官權威勳帶"
0E2E2212,"進度"
0E3AD5AF,"切換裝備"
0E3F935C,"你已經從驟死戰中被淘汰！"
0E4244E1,"蹲下不但提升命中率也讓你變得較難被打中。你可以持續蹲下或切換。欲蹲下請按下："
0E435742,"被伺服器禁玩"
0E5F7E71,"邀請好友"
0E6361B3,"[BF1].40mm SW | [BF4].40 SW"
0E66A14E,"IMAGINATION STUDIOS ASSISTANT PRODUCER"
0E6D8FCC,"[BF1]正在儲存玩家設定檔，請不要關閉主機。 | [BF4]正在儲存玩家設定檔，請不要關閉系統。"
0E6DE3EA,"連接EA Online逾時。你的網路頻寬或速度可能沒有達到《戰地風雲4》的需求。"
0E727520,"[BF1]以指揮官身分加入 | [BF4]以指揮官加入"
0E8405F0,"EA LOCALIZATION AUDIO CAPTURE"
0E8BCF57,"[BF1]戰爭機器 | [BF4]殺人機器"
0E946DA7,"單人模式專屬狗牌"
0E99D7A9,"浪頭王狗牌"
0EAACC25,"輸入的電郵或密碼無效"
0EB3683C,"全新個人紀錄"
0EBA7F55,"射擊訓練（9/10）"
0EC1D85B,"瞄準距離"
0EC7AF18,"封包遺失"
0ECBD056,"密碼："
0ED31560,"引爆炸彈"
0EDA9B24,"[BF1]取得野戰手冊 | [BF4]拾起蒐集品"
0EEC64CB,"重生時間百分比"
0EFE61D7,"PLR SOLDIER 2 IRANIAN CIVILIAN"
0F028F47,"正在進行"
0F16594D,"代表宏都拉斯的狗牌"
0F1BC34F,"宏都拉斯"
0F1DD93D,"射擊訓練（4/10）"
0F2AEF6E,"從遠處提供非直接火力。"
0F2E2FA9,"發射無聲火箭砲。可鎖定雷射指定目標來發射導引火箭。"
0F2EAEA1,"發射一般飛彈。可鎖定雷射指定目標來發射射後不理能力導彈。"
0F2F5DCC,"部署來偵測範圍中移動的士兵。被偵測到的士兵會顯示在小地圖上。"
0F316A75,"發射空爆榴彈來攻擊掩護後的目標。瞄準掩護後放大以設定空爆距離。向掩護上方發射，榴彈會在掩護後空爆。取消縮放也會取消空爆鎖定。"
0F3355FF,"空中載具"
0F33A1FC,"海上載具"
0F33E2E6,"巡弋飛彈勤務之星"
0F34259A,"公寓"
0F34259B,"市場"
0F34259C,"天台花園"
0F4A7DD7,"QBS09式軍用霰彈槍武器戰鬥包內含四個項目。每一包會給你幾個QBS09式軍用霰彈槍專用附掛，直到你解鎖了全部。"
0F4B97A0,"88式狙擊步槍武器戰鬥包內含四個項目。每一包會給你幾個88式狙擊步槍專用附掛，直到你解鎖了全部。"
0F4F1180,"尚未選擇好友"
0F4F3155,"設定密碼"
0F50B0A8,"目標摧毀"
0F5D78D6,"儲存組態失敗"
0F5FC5C0,"[BF1]您無法加入跟您使用相同主機的玩家。 | [BF4]你無法加入和你使用相同主機的人。"
0F67FA35,"遊戲選單 得分板（按住）"
0F6D2FF5,"[BF1]你將以最快速度轉到與你好友相同的隊伍和小隊。欲停止這道程序並改用手動管理分發，請按下： | [BF4]你將自動以最快速度轉到與你好友相同的隊伍和小隊。要停止這道程序並改用手動管理分發，請按下："
0F7037A4,"引爆C4"
0F8D0C8A,"[BF1]恭喜您！您想現在就打開戰鬥包嗎？ | [BF4]恭喜你！你想現在就打開戰鬥包嗎？"
0F9E510C,"放大並瞄準敵方空中載具以進行鎖定。發射之後，射後不理導彈會自動攻擊目標。"
0FA52264,"透過戰鬥包取得"
0FAA8C66,"戰鬥包9狗牌"
0FAEFF38,"等待"
0FB28BAC,"°"
0FB955E1,"臥倒"
0FD848AA,"[BF1]M1911 | [BF4]M1911手槍"
0FD87600,"使用JS2擊殺500人"
0FDDE002,"JS2大師狗牌"
