00044741,"無法連上《戰地風雲》的伺服器，無法取得伺服器資訊。請稍後再試。"
01D69DB0,"漢娜：對，謝謝。"
01D69DB1,"派克：愛爾蘭佬？"
01D69DB2,"愛爾蘭佬：歇歇。"
01D69DB3,"漢娜：愛爾蘭佬，我才沒說成那樣子。可是……"
01D69DB4,"派克：他不是故意的。不是故意的。愛爾蘭佬，別這樣。謝謝。"
01D69DB5,"愛爾蘭佬：謝謝。"
01D69DB6,"漢娜：說得很好。"
01D69DB7,"愛爾蘭佬：謝謝。"
01DC4EF7,"空中砲艇已部署"
01EEA5E0,"ID_P_VWNAME_IFVFLECHETTEVVVVVVVVVV"
01EF36AB,"有更新可供下載，必須安裝本項更新才能使用本遊戲的線上功能。"
01F49397,"碎片秋天"
01F5FEB0,"中尉II"
01FA2727,"晉級"
01FE91C5,"解鎖F2000突擊步槍"
0217DD48,"按鈕"
0218006C,"REC"
021B6F06,"各隊爭奪一枚炸彈"
02235ECE,"選擇全螢幕時所要使用的顯示器，按「套用影像設定」按鈕啟用。"
0226358F,"預設"
0231A04B,"EA CERT"
023A1FD5,"使用CS-LR4擊殺500人"
023AF0C1,"EA TECH"
023F89D7,"CS-LR4大師狗牌"
024A4DC9,"為小隊製造額外重生地點的攜帶型重生信標。僅能以小隊一員身份發揮作用。如果信號放置於露天位置，你的小隊成員會使用降落傘出現在該位置。"
0254981D,"小隊死鬥"
02672878,"進階選項..."
026F3D67,"連線"
0272F5B1,"高級毒蠍狗牌"
0277CA71,"按住即可進入載具"
02782408,"ASSISTANT PRODUCERS"
02786429,"魅影計劃第三階段已解鎖！"
027DA42B,"中國崛起 空域優勢"
0280D5B8,"敵方航母"
028A94DF,"載具滿載"
029B24DD,"在任務中與好友競爭。選擇一項任務並最多能邀請四名好友一同進行。 時間結束或者是次數完畢後分數最高的玩家就是贏家。"
029B3F66,"Victor"
029E88EA,"急救包"
02B1987F,""
02B1C3AF,"造船廠"
02B33A9C,"反熱像追蹤迷彩"
02B920D4,"空域優勢"
02C0DDB8,"兼具直接和頂部攻擊模式的肩射反坦克導彈。射後不理系統必須在發射前鎖定，導彈將自行追蹤目標。發射雷射指定目標時，Javelin會自動使用頂部攻擊模式，此模式對付敵方裝甲威力極強。"
02C4365B,"霰彈槍"
02C8E8EC,"使用Z-11W武裝直升機擊殺500人"
02CE52EE,"Z-11W武裝直升機大師狗牌"
02D3050B,"獲勝回合數較多的隊伍即可贏得比賽"
02D3C9A8,"你自訂的地圖循環。"
02D88859,"代表蒙特內哥羅的狗牌"
02DDF25B,"蒙特內哥羅"
02DDF515,"FACILITIES"
02DE8ADB,"5張資料片"
02DE8ADC,"提前兩週使用權"
02DE8ADD,"獨家個人化功能"
02DE8ADE,"伺服器連線優先權"
02DE8ADF,"每週新內容"
02DE8AE0,"12套獎勵戰鬥包"
02EF87F2,"街道"
02F4CEEE,"使用CS5擊殺500人"
02F4D2AA,"呼叫升降梯"
02FA38F0,"CS5大師狗牌"
02FAA05F,"[personaname]加入了伺服器"
03006624,"槍口水平移動的幅度降低25%以改善穩定性，但自動射擊的準度也會降低30%。"
0319C488,"指揮官滿意度"
0324882F,"在一回合內取得最高直升機擊殺數"
0329B096,"蹲下（按住）"
032B80D0,"LAUNCH READINESS"
032DDDF6,"在「突擊航母」中摧毀一個目標"
035289E3,"完成小任務即可解開這種狗牌"
03529C15,"/"
0353A68E,"M320閃光彈"
0357F3E5,"初級飛機狗牌"
0358F5ED,"突襲"
035CEBE9,"中規模戰爭場面。防守基地各有兩項目標，攻守雙方一決勝負。"
035E14A9,"使用DAO-12擊殺500人"
035F52FB,"你上一次加乘的剩餘時間將會遭到刪除。是否要繼續？"
0360700D,""
0361CC3A,"一旦部署倒數歸零你即可進入遊戲。欲部署，請按下："
03637EAB,"DAO-12大師狗牌"
0363BD48,"鬥牛犬"
036A2AB4,"仇敵復仇"
036C8E28,"代表幾內亞比索的狗牌"
036F40FE,"快速反應蹲下"
0371F82A,"幾內亞比索"
0372A7F6,"GLOBAL IT SENIOR INFRASTRUCTURE ENGINEER CLOUD"
0379E56F,"佔領"
037AD49E,"SENIOR SOFTWARE ENGINEER"
038155B5,"代表敘利亞的狗牌"
038285B0,"{(C)PRESENCE_CONTEXT_GAMEMODE_INACTIVE_NAME}"
03850389,"「中國崛起」征服"
0386BFB7,"敘利亞"
038FF724,"尚未有其他好友玩《戰地風雲4》"
0397C860,"你必須設定至少三個字元。"
039CE137,"-. Placeholder .-SAIGA 12K-. Placeholder .-"
03A0245B,"使用L86A2擊殺500人"
03A43C1E,"愛爾蘭佬：媽的。不是這個。"
03A43C1F,"派克：不對，回頭去。"
03A58E5D,"L86A2大師狗牌"
03A69D0C,"亮度"
03B1618C,"Origin帳號（EA）"
03B40C95,"DICE"
03B590FA,"GAME"
03BD05C2,"伺服器正在維修中。"
03BF422E,"更改不在縮放模式時，友軍士兵與友軍載具的玩家世界圖示中生命值血條/救助計時器的顯示度。"
03C0E0C2,"小隊最後一人"
03D12EE2,"密碼"
03D54EA5,"普通"
03D7920D,"你必須是步行狀態才能下此指令。"
03D7B341,"DICE LINE MANAGERS"
03ED1EAC,"到期日"
03EF2AC7,"支援裝備"
03F2158F,"M-COM攻擊手勳帶數"
03F97900,"你隊伍控制的目標"
03F97901,"中立目標"
03F97902,"敵方控制的目標"
03F97903,"隊伍"
03F97904,"佔領目標"
03F97905,"敵人"
03F97906,"佔領敵方目標"
03FB0B46,"DIGITAL IMAGING LEAD"
03FB573F,"透過戰鬥包取得"
0400C141,"戰鬥包4狗牌"
04069E03,"防禦"
040BA6DC,"DESIGNERS"
040D0CE0,"掃描步兵"
041F6160,"上將VI"
04248CB9,""
042779B3,"經典"
0428CC53,"夥同你的隊友一同攻擊或保衛成雙M-COM目標。有各種裝備、配備、載具供你使用。"
042B8FB3,"烏龜沙漠"
042BC610,"派克：對不起。漢娜，有件事我非問不可。我們之前在上海的時候。我看見有路邊攤……你們吃鴿肉嗎？"
042BC611,"漢娜：對，我們其實吃好幾種鳥肉。多數是鴨肉和鵪鶉肉。"
042BC612,"派克：可是怎麼會吃鴿肉？牠們等於是會飛的老鼠。你聽過有誰吃鴿肉嗎？"
042BC613,"愛爾蘭佬：笨蛋，不是我們美國這種鴿子。"
042BC614,"派克：你吃過鴿肉？"
042BC615,"愛爾蘭佬：對，我吃過鴿肉。"
042BC616,"派克：你看。我們都看不出來你們兩個還有蠻多共通點。你們兩個都吃鴿肉。"
042BC617,"愛爾蘭佬：我愛吃鴿肉。"
042BC618,"漢娜：好樣的。"
042BC630,"派克：雞肉牛肉或義大利麵還能理解。鴿肉就實在太誇張了。聽起來就不怎麼好吃。"
042BC631,"愛爾蘭佬：派克，你真該多出國去走走。"
042BC632,"派克：我就是愛吃漢堡。還有薯條。你知道我現在有多想吃漢堡和薯條嗎？"
042BC633,"愛爾蘭佬：你真是哪壺不開提哪壺。"
042BC634,"漢娜：我愛吃漢堡。"
042BC635,"派克：你喜歡漢堡？"
042BC636,"漢娜：對，我好愛吃漢堡－還有薯條。真是美味。"
042BC637,"派克：真的？"
042BC638,"漢娜：對，尤其是細的那種。細薯條配番茄醬。太完美了。再灑一點鹽。"
042BC639,"派克：薯條我喜歡粗的，可是勒~人各有所好。愛爾蘭佬你呢？"
042BC651,"愛爾蘭佬：我現在連生馬鈴薯都能吞下去。"
042BC652,"派克：生馬鈴薯。"
042BC653,"愛爾蘭佬：真他媽的餓死了。"
042BC654,"派克：漢堡的中文怎麼說？"
042BC655,"漢娜：一時想不出來。"
042EAADB,"使用MX4擊殺500人"
043414DD,"MX4大師狗牌"
043DDA6B,"左SHIFT"
04494FB1,"接受救助"
044B2751,"中尉III"
04511CA8,"看看誰才是《戰地風雲4》的頂尖好手。 任務可設定為單回合內最高擊殺數或奪取狗牌數等獲勝條件，並且最多能邀請四名好友一同比賽。 時間結束或者是次數完畢後分數最高的玩家就是贏家。"
0453BA66,"解鎖AS-VAL個人防衛武器"
04588FE7,"改變士兵武器中近距離視鏡的準星大小。"
045C66BE,"彈藥袋升級"
045CAAC8,"鏟裝車"
0466111C,"小隊上一名玩家"
0468E8B0,"河畔村莊"
047849CB,"BF4電擊器擊殺"
04840D36,"顯示戰略物件的位置，可啟用索敵功能以追蹤目標。"
048D3FDF,"M18闊刀地雷"
048F4876,"使用M40A5擊殺500人"
04944A1C,"達到分數"
0494B278,"M40A5大師狗牌"
0499A19D,"開門"
049B1ED6,"ADDITIONAL DATA ENGINEER"
04AC359F,""
04AE1BAF,"長方變色"
04B02120,"索敵/通訊"
04B02121,"COMM選單2"
04B29CB2,"蹲下（切換）"
04B67819,"退出並回到WINDOWS"
04B6F96A,"派克：看起來像特戰部隊，數目多少不清楚，完畢。"
04BC80B7,"ANIMATION & CINEMATICS"
04C96B6E,"老虎雪地"
04CD4F1C,"讓3個小隊隊員重生"
04D2B91E,"無線電信標重生勳帶"
04E2FD83,"無法禁止該玩家。"
04ECAF70,"ONLINE SERVICE OPERATIONS"
04F267A4,"LIGHTING ARTIST"
04F46226,"小隊修復中"
04F51A5B,"每個循環地圖的遊戲回合數。"
05067DB3,"ID_P_VWNAME_FACAAVVVVVVVVVV"
050E5E01,"專與粉絲歡慶同樂的狗牌！"
0513C803,"玩家謝禮狗牌"
051E118D,"使用UH-1Y毒液擊殺500人"
05237B8F,"UH-1Y毒液大師狗牌"
052C23AE,"COMMANDER"
052DB0FA,"代表蒙塞拉特島的狗牌"
0530D351,"篩選條件"
0532C322,"資料讀取中，請稍候..."
05331AFC,"蒙塞拉特島"
05367978,"就緒"
053CB01E,"開啟/關閉動態模糊。設定「開啟」後可能會降低效能。"
053F5C70,"TIBURON ANIMATION SOFTWARE ENGINEER"
053FCB23,"單人模式專屬狗牌"
05412CA9,"["
05429211,"找出監獄下層"
05442DF7,"目前地圖"
05453525,"一去不復返狗牌"
0548F89B,"使用全像瞄準器以獲得2X的放大效果。"
05513DCE,"配備1"
05625191,"看排行榜"
05655F9A,"撞死擊殺數"
0577200F,"GLOBAL IT SENIOR DIRECTOR"
05795FA3,"啟用或停用再生生命，使得醫療包成為重獲生命的唯一途徑。"
0592DD88,"持續蹲下"
0597C828,"透過遊戲選單追蹤你目前的分數。每次擊殺都可獲得分數，你可從特殊動作獲得額外加分，例如爆頭擊殺。"
05A1A6C3,"黃金戰鬥包"
05A5FD0C,"征服與突擊混搭的《重返卡肯》地圖。"
05A7B284,"完成小任務即可解開這種狗牌"
05AA1F5D,"下 反制裝置"
05ABC724,"滅火器"
05AD1C86,"初級船隻狗牌"
05AEFAA4,"比賽狗牌解鎖！"
05B33D4A,"使用F2000擊殺500人"
05B8913D,"發射在爆炸前不斷從表面射出小型人員殺傷彈的40mm定時榴彈。"
05B8A74C,"F2000大師狗牌"
05B8AD36,"填滿鋼矛彈的40mm彈藥筒，等於讓發射器化身成霰彈槍。"
05B8ADDF,"產生一團白煙阻礙視線並干擾索敵的40mm煙霧榴彈。"
05C1B6C9,"代表蓋亞納的狗牌"
05C6548B,"檢視追蹤所有勳帶、勳章、小任務等獎勵。"
05C720CB,"蓋亞納"
05D218AE,"$XXX,XXX.XX"
05D4A837,"擊殺"
05D67E56,"代表臺灣的狗牌"
05DBE858,"臺灣"
05E49415,"<空白>"
05E73057,"近距敏感度"
05F929D0,"臥倒（按住）"
05F964BF,"愛爾蘭佬：瑞克，你有看見什麼地標嗎？"
05F964C0,"派克：我知道了。我們繼續往東走。離河邊很近了。"
05F964C1,"派克：離河邊很近了。只是得往東走。"
05FA1FA2,"M320閃光彈"
05FA671A,"載具部署"
05FF2254,"ID_P_VWNAME_T90LDVVVVVVVVVV"
06057F41,"沉龍河畔"
060EC444,"用定義給控制器緩衝鍵的所有遊戲功能交換定義給控制器發射鍵的所有遊戲功能。"
0614F9EF,"ID_P_VUDESC_JETAVIONICVVVVVVVVVV"
061D10AC,""
0624A666,"摧毀目標數："
0626C8F7,"DICE LA"
062B0919,"是"
062BD83D,"你的任務成功了"
0632A550,"頻寬使用最佳化"
063A9689,"撿起武器"
063F3683,"武器配件"
06442311,"素面海軍"
06483C4A,"啟動"
06507FE0,"透過戰鬥包取得"
06552B2D,"戰術燈"
0655E9E2,"戰鬥包5狗牌"
0660EC5F,"勳帶"
06645670,"伺服器描述含有不雅文字。"
0664C19B,"使用MP7擊殺500人"
066A2B9D,"MP7大師狗牌"
066B6929,"愛爾蘭佬：媽的！發生什麼事？！"
066B692A,"漢娜：是電力。他們斷電。"
066B692B,"愛爾蘭佬：他媽的。馬上出去。快點。快走。"
066B692C,"漢娜：我們必須裝炸藥！"
066B692D,"愛爾蘭佬：裝在這裡？好，我們會掩護你六點鐘方向！"
066B692E,"愛爾蘭佬：他媽的！有人來襲！漢娜，快點！"
066B692F,"愛爾蘭佬：瑞克，快過來！掩護她！"
066B6930,"愛爾蘭佬：把那些混蛋宰了！"
06748A01,"上將VII"
067BD752,"方向鍵上"
067D1286,"隊友已設置炸彈！"
067DA82F,"狗牌救星"
0680EEB1,"愛爾蘭佬：漢娜，你說說是在哪裡認識你丈夫的？"
0680EEB2,"漢娜：在中國認識的。"
0680EEB3,"派克：真的？你們認識多久了？"
0680EEB4,"漢娜：七年了。"
0680EEB5,"派克：七年？那好久了。我交往最久的才兩個月左右。"
0680EEB6,"派克：愛爾蘭佬有老婆。"
0680EEB7,"漢娜：真的？"
0680EEB8,"派克：也有小孩，對不對？"
0680EEB9,"愛爾蘭佬：對，有三個。"
0680EED1,"漢娜：厲害。"
0680EED2,"派克：你跟你丈夫想生小孩過嗎？"
0680EED3,"漢娜：我們還沒走到那一步，但我們考慮過。"
0682CBF1,"選擇難度"
0683D37C,"使用PP-2000擊殺500人"
0688231F,"變色"
0688BD9C,"你已有加入小隊"
06893D7E,"PP-2000大師狗牌"
0690D1CB,"加入最愛"
06A04FF2,"中尉IV"
06A8E307,"解鎖M60-E4輕機槍"
06AF9351,"已啟用頭部追蹤"
06B427A9,"根據狀況在強烈閃光的手電筒或改善腰射表現的雷射瞄準器之間切換。無法切換成關閉。"
06C370F6,"紅外線煙幕"
06C5AD28,"自由觀看向右"
06CB53DE,"啟用傾身指示，讓你可以在掩蔽物後面窺視。"
06CBCBF7,"素面都會"
06D11015,"DICE FROSTBITE2 TECHNICAL DIRECTOR"
06D28554,"載具座位1"
06D28555,"載具座位2"
06D28556,"載具座位3"
06D28557,"載具座位4"
06D28558,"載具座位5"
06D28559,"載具座位6"
06D2855A,"載具座位7"
06D2855B,"載具座位8"
06DDC1DE,"已發現新炸彈"
06E47117,"使用斥候精英擊殺500人"
06E93BF7,"查看遊戲製作群"
06E9DB19,"斥候精英大師狗牌"
06EA88F1,"《再次進擊》資料片"
06ED7FAE,"EA CERTIFICATION TECHNICAL OPERATIONS"
06EED852,"在{(C)PRESENCE_CONTEXT_BASIC_LEVEL_NAME}"
06F44743,"原子秋天"
06F7C1F9,"無法建立任務"
071D8771,"火箭彈"
071F993C,"派克：「你將有改變一生的新奇體驗－在床上」。"
072277BD,"執行8次補給"
0725ADFA,"這套高級戰鬥包內含全新高級版專屬軍刀！"
0727E1BF,"彈藥勳帶"
0731B1BD,"派克：除了那輛車我不知道還有哪輛能玩三人行。"
073567AC,"VOICE OVER DESIGNERS"
073FC104,"部署；重生"
07410C59,"愛爾蘭佬：派克，我要它說我要它說的話。"
0743CA3E,"派克：這種話沒道理。「在床上」永遠能搭配真正的幸運餅乾。"
074F70D0,"明亮紅光雷射瞄準器能將腰射影響降低25%以改善腰射表現。可從稍遠距離阻礙敵人視線。"
07610375,"《戰地風雲4》的洛杉磯開發團隊專屬"
076C4323,"最佳突擊兵"
0774E052,"戰鬥包"
07798C35,"編織刀"
078315CF,"ADVANCED ANALYTICS MANAGER"
078944CF,"軍醫"
078C73F1,"-. Placeholder .-.44 MAGNUM-. Placeholder .-"
078F94AA,"「海軍風暴」征服"
0790A785,"遊戲模式訊息"
0794F3C4,"單人模式專屬狗牌"
079A5DC6,"一人暴動狗牌"
079AFB64,"進入"
079BD1B2,"M224迫擊砲"
07B3D85A,"在小地圖上隱藏槍口的的火光並提升在小地圖匿蹤效果的中國製手槍消音器。降低子彈速度並增加彈道曲線。"
07BE1906,""
07C062BC,""
07C5A6DC,"側衛"
07D1B5A4,"碎片沙漠"
07D26194,"在小地圖上隱藏槍口的的火光並提升在小地圖匿蹤效果的西方製手槍消音器。降低子彈速度並增加彈道曲線。"
07EB078A,"顯示進階選項。警告！進階選項非針對初學者設計！如果你在此整調整時迷失，不知道如何還原某些功能，請使用「重設」按鈕以還原為預設值。"
07F16B89,"EMP無人機"
07FBBD21,"再次進擊"
07FCDB25,"完成小任務即可解開這種狗牌"
08024527,"初級卡賓步槍狗牌"
08038AFD,"等待小隊隊長開始快速遊戲"
080700A4,"屋頂"
08077535,"都會空軍"
08077731,"破碎"
08077792,"三色沙漠"
08077976,"緊密都會"
08077B72,"波蘭"
08077BD3,"陸戰沙漠"
08077DB7,"海洋綠"
08077FB3,"游擊隊"
08078014,"巧克力脆片"
080781F8,"解放軍沙漠"
080783F4,"德軍"
08078455,"藤葉"
08078639,"解放軍海軍"
08078835,"俄羅斯叢林"
08078896,"通用"
08078A7A,"解放軍溫帶"
08078C76,"傘兵"
08078CD7,"陸戰"
08078EBB,"海洋藍"
080790B7,"夏天"
08079118,"老虎條紋"
080792FC,"都會老虎"
080794F8,"葉格"
08079559,"小花"
080865EB,"使用GOL狙擊步槍擊殺500人"
080A705A,"Sweetwater"
080BFA73,"DICE UI ARTISTS"
080C176D,"即時小隊長視角"
080DCFED,"GOL狙擊步槍大師狗牌"
080FDDC1,"原子森林"
0816DF6A,"代表海地的狗牌"
0819F481,"霰彈"
081C496C,"海地"
081D465A,"中國崛起 突襲"
081DBFCD,"中國崛起 小隊死鬥"
08211ACB,"碎片變色"
0828A999,"狙擊步槍勳帶x1"
0828A99A,"從裡海邊境或火線風暴的高塔擊殺5名玩家"
082BA6F7,"代表塔吉克的狗牌"
083110F9,"塔吉克"
08367CE6,"擊殺{0:d}人"
083775D4,"儲存裝置在使用過程中被移除，刪除失敗。"
083A5DA8,"裝備"
083EE63A,"PUBLIC RELATIONS VICE PRESIDENT"
084C2536,"ADDITIONAL TECHNICAL DIRECTOR"
084E8D60,"愛爾蘭佬：我們把車留在這條巷子裡。"
084E8D61,"派克：糟糕。在那裡。"
085DFDD8,"天線"
086A1AE3,""
0879B721,"由玩家引爆的空爆彈頭對步兵部隊殺傷力更強，範圍也比正常爆破大。"
087AEAC4,"小隊協助壓制"
088AE8E4,"PFC INGHAM"
088F5006,"小花雪地"
088F7CAA,"伺服器正在進行E-Sport比賽，你未預定參加。"
088FE0CF,"繼續"
08941788,"LEGACY OPERATIONS（大型）"
089DD454,"突擊航母獲勝數"
08A412BD,"否定"
08A5A881,"透過戰鬥包取得"
08A78A7C,"DICE FROSTBITE2 SENIOR DEVELOPMENT DIRECTOR"
08AB1283,"戰鬥包6狗牌"
08C0968E,"漢娜：第一支炸藥進入待命！"
08C0968F,"愛爾蘭佬：快消滅他們！這裡面擠死了！"
08C09690,"漢娜：瑞克，把門守好！"
08C096AF,"愛爾蘭佬：就這樣！走廊安全！"
08C096B0,"漢娜：出口安全！"
08C09A6C,"漢娜：必須裝第二支炸藥。"
08C09A6D,"愛爾蘭佬：瑞克，輪到你了。我們會提供掩護。"
08C09A6E,"愛爾蘭佬：在那裡，在走廊盡頭旁邊。"
08C09A6F,"漢娜：拜託快點！"
08C09A70,"愛爾蘭佬：瑞克，去角落。他們快來了！"
08C09AAE,"愛爾蘭佬：防線被破！"
08C09AAF,"瑞克！出口旁有敵人！"
08C09ACF,"把那些混蛋趕出去！"
08C09B11,"大家快出去！快點！"
08C9B2A2,"上將VIII"
08CC597C,"追蹤："
08D04CE3,"RED PIPE CUTSCENE AUDIO DESIGN"
08D59059,"炸彈在你手上！"
08D61752,"漢娜：時候應該也快到了。"
08D61753,"愛爾蘭佬：喂，老百姓。你槍法是哪裡學的？"
08D61754,"漢娜：什麼老百姓？"
08D61755,"愛爾蘭佬：對。非戰鬥人員的意思。你就是這身份不是嗎？"
08D61756,"漢娜：我叫漢娜。"
08D61757,"愛爾蘭佬：好~隨便啦。你那種槍法是哪裡學的？"
08D61758,"漢娜：我爸那裡~他教我的。"
08D61759,"愛爾蘭佬：你以為我會買帳嗎？"
08D6175A,"漢娜：愛爾蘭佬，你想買什麼隨便你。"
08D61772,"派克：好了，你們兩個有完沒完。能不能別提了？"
08D61773,"愛爾蘭佬：她就是這麼希望我們別提了。全靠信念是不是？"
08D61774,"派克：愛爾蘭佬，冷靜點。"
08D61775,"愛爾蘭佬：我很冷靜，我很冷靜的。我只想知道她那種槍法是哪裡學來的。光在院子射射罐子不可能學會怎麼邊逃邊解決別人－或利用大火引他們出洞。"
08D61776,"漢娜：真是無聊。我們是在浪費時間。等事情解決了你想聊天我一定奉陪。"
08D61777,"派克：對，真是好主意對不對，愛爾蘭佬？我們可以改天再聊嗎？"
08D61778,"愛爾蘭佬：這裡只有我覺得擔心嗎？"
08D61779,"派克：她也算我們一份子。你高不高興都一樣。"
08D6177A,"愛爾蘭佬：她誰的一份子都不是。她是老百姓－頂多算是跟屁蟲。該把她排擠出去了。"
08D6177B,"派克：瑞克。我們出發了好不好？"
08D6D853,"龍之獠牙"
08D70EFD,""
08D7C0E7,"SOFTWARE ENGINEERING MANAGER"
08D8D1F4,"DICE PERSISTENCE DESIGNERS"
08D8FC1D,"使用UMP-45擊殺500人"
08DB60ED,"碉堡"
08DB60EE,"宿舍"
08DB60EF,"生產線"
08DB60F0,"工廠"
08DB60F1,"鐵軌"
08DB60F2,"雷達塔台"
08DB7EB4,"宿舍"
08DB7EB5,"生產線"
